Время;мс;13045 Неисправность датчика цил. А6;Температура топлива;Температура масла;Температура выпускных газов А1;Температура выпускных газов А2;Температура выпускных газов А3;Температура выпускных газов А4;Температура выпускных газов А5;Температура выпускных газов А6;Температура выпускных газов А7;Температура выпускных газов А8;Температура выпускных газов В1;Температура выпускных газов В2;Температура выпускных газов В3;Температура выпускных газов В4;Температура выпускных газов В5;Температура выпускных газов В6;Температура выпускных газов В7;Температура выпускных газов В8
9:0:44;300;0;14,2717631799802;68,1345845731289;124,464789806973;129,315632867933;121,1078049897;122,40024414435;118,606851300832;117,817959868772;126,14328221561;126,092927443351;146,318760967422;137,338826581216;138,24521248188;138,362706950484;138,648050659953;135,391775387198;136,365300984207;131,883726253147;
9:0:45;301;0;14,3221179522393;68,1177996490425;124,11230640116;128,963149462119;120,7385366598;122,03097581445;118,237582970932;117,398336766613;125,807583733883;125,757228961624;146,469825284199;137,405966277562;138,329137102312;138,396276798657;138,765545128557;135,492484931716;136,482795452811;132,018005645838;
9:0:46;299;0;14,3053330281529;68,1010147249561;123,826962691691;128,744945448997;120,486762798505;121,762417029068;118,002594033722;117,146562905318;125,606164644846;125,522240024414;146,755168993667;137,607385366598;138,513771267262;138,597695887694;139,017318989853;135,626764324407;136,751354238193;132,252994583047;
9:0:47;299;0;14,3221179522393;68,1513694972152;123,474479285878;128,375677119097;120,134279392691;121,376363775082;117,650110627909;116,726939803159;125,253681239033;125,169756618601;146,906233310445;137,674525062943;138,597695887694;138,631265735866;139,151598382544;135,84496833753;136,885633630884;132,353704127565;
9:0:48;301;0;14,3389028763256;68,1177996490425;123,205920500496;128,140688181888;119,882505531395;121,158159761959;117,4151216907;116,542305638209;125,069047074083;124,985122453651;147,15800717174;137,87594415198;138,815899900816;138,832684824903;139,369802395666;136,063172350652;137,13740749218;132,571908140688;
9:0:49;299;0;14,3221179522393;68,1345845731289;122,903791866941;127,855344472419;119,6307316701;120,872816052491;117,062638284886;116,273746852827;124,783703364614;124,682993820096;147,376211184863;138,027008468757;138,950179293507;138,916609445335;139,571221484703;136,21423666743;137,338826581216;132,773327229725;
9:0:50;300;0;14,3724727244984;68,1345845731289;122,601663233387;127,553215838865;119,429312581064;120,55390249485;116,777294575418;116,07232776379;124,515144579232;124,414435034714;147,510490577554;138,127718013275;139,101243610285;138,98374914168;139,739070725566;136,298161287861;137,405966277562;132,974746318761;
9:0:51;300;0;14,3389028763256;68,1513694972152;122,299534599832;127,284657053483;119,143968871595;120,234988937209;116,458381017777;115,753414206149;124,246585793851;124,11230640116;147,695124742504;138,24521248188;139,235523002975;139,101243610285;139,90691996643;136,533150225071;137,640955214771;133,142595559625;
9:0:52;301;0;14,3389028763256;68,1681544213016;122,03097581445;127,100022888533;118,858625162127;119,932860303655;116,290531776913;115,434500648508;123,961242084382;123,92767223621;147,913328755627;138,345922026398;139,302662699321;139,201953154803;140,074769207294;136,617074845502;137,825589379721;133,310444800488;
9:0:53;301;0;14,3389028763256;68,1345845731289;121,712062256809;126,814679179065;118,573281452659;119,613946746014;115,988403143359;115,165941863127;123,726253147173;123,659113450828;148,097962920577;138,496986343175;139,436942092012;139,319447623407;140,259403372244;136,784924086366;138,010223544671;133,461509117266;
9:0:54;301;0;14,3892576485847;68,1345845731289;121,510643167773;126,51255054551;118,33829251545;119,44609750515;115,669489585718;114,930952925917;123,541618982223;123,390554665446;148,299382009613;138,580910963607;139,571221484703;139,420157167926;140,393682764935;136,919203479057;138,161287861448;133,562218661784;
9:0:55;299;0;14,3724727244984;68,1177996490425;121,208514534218;126,227206836042;118,052948805982;119,143968871595;115,384145876249;114,645609216449;123,273060196841;123,121995880064;148,517586022736;138,715190356298;139,72228580148;139,520866712444;140,561532005798;137,087052719921;138,312352178225;133,746852826734;
9:0:56;301;0;14,3724727244984;68,1681544213016;120,906385900664;125,95864805066;117,750820172427;118,825055313954;115,082017242695;114,309910734722;123,021286335546;122,836652170596;148,6854352636;138,832684824903;139,839780270085;139,621576256962;140,729381246662;137,238117036698;138,446631570916;133,897917143511;
9:0:57;301;0;14,3724727244984;68,1513694972152;120,637827115282;125,673304341192;117,482261387045;118,5229266804;114,813458457313;114,04135194934;122,752727550164;122,5848783093;148,903639276722;138,933394369421;139,974059662776;139,705500877394;140,880445563439;137,372396429389;138,631265735866;134,065766384375;
9:0:58;301;0;14,3724727244984;68,1681544213016;120,335698481727;125,387960631724;117,196917677577;118,204013122759;114,528114747845;113,756008239872;122,500953688869;122,316319523919;149,0547035935;139,034103913939;140,09155413138;139,839780270085;141,048294804303;137,50667582208;138,815899900816;134,216830701152;
9:0:59;301;0;14,4563973449302;68,1513694972152;120,033569848173;125,119401846342;116,928358892195;117,952239261463;114,209201190204;113,48744945449;122,265964751659;122,03097581445;149,256122682536;139,16838330663;140,209048599985;139,940489814603;141,216144045167;137,624170290684;138,98374914168;134,384679942016;
9:1:0;299;0;14,4228274967575;68,1681544213016;119,748226138705;124,85084306096;116,6765850309;117,666895551995;113,923857480735;113,218890669108;121,997405966278;121,762417029068;149,4239719234;139,285877775235;140,326543068589;140,041199359121;141,367208361944;137,775234607462;139,134813458457;134,535744258793;
9:1:1;301;0;14,4228274967575;68,1513694972152;119,395742732891;124,498359655146;116,374456397345;117,297627222095;113,571374074922;112,866407263294;121,66170748455;121,426718547341;149,558251316091;139,35301747158;140,410467689021;140,057984283207;141,501487754635;137,842374303807;139,218738078889;134,619668879225;
9:1:2;301;0;14,3724727244984;68,1513694972152;119,110399023423;124,213015945678;116,139467460136;117,012283512627;113,30281528954;112,681773098344;121,409933623255;121,191729610132;149,692530708782;139,453727016098;140,544747081712;140,125123979553;141,635767147326;138,010223544671;139,336232547494;134,770733196002;
9:1:3;301;0;14,4731822690166;68,184939345388;118,875410086213;123,994811932555;115,938048371099;116,760509651331;113,067826352331;112,480354009308;121,225299458305;120,973525597009;149,910734721904;139,638361181048;140,712596322576;140,292973220417;141,870756084535;138,211642633707;139,520866712444;134,955367360952;
9:1:4;299;0;14,4396124208438;68,1513694972152;118,539711604486;123,759822995346;115,635919737545;116,424811169604;112,816052491035;112,178225375753;120,906385900664;120,7385366598;150,028229190509;139,688715953307;140,729381246662;140,326543068589;141,93789578088;138,077363241016;139,604791332876;135,05607690547;
9:1:5;301;0;14,4563973449302;68,2017242694743;118,237582970932;123,474479285878;115,367360952163;116,156252384222;112,547493705653;111,909666590372;120,671396963455;120,486762798505;150,1625085832;139,772640573739;140,846875715267;140,427252613107;142,072175173571;138,312352178225;139,739070725566;135,190356298161;
9:1:6;299;0;14,4899671931029;68,2017242694743;118,052948805982;123,222705424582;115,115587090867;115,938048371099;112,262149996185;111,590753032731;120,503547722591;120,18463416495;150,330357824063;139,839780270085;140,947585259785;140,527962157626;142,206454566262;138,446631570916;139,873350118257;135,291065842679;
9:1:7;302;0;14,4899671931029;68,184939345388;117,767605096513;122,937361715114;114,813458457313;115,669489585718;112,01037613489;111,305409323262;120,234988937209;119,949645227741;150,498207064927;139,957274738689;141,081864652476;140,628671702144;142,340733958953;138,564126039521;140,041199359121;135,442130159457;
9:1:8;301;0;14,5067521171893;68,1681544213016;117,532616159304;122,735942626078;114,59525444419;115,434500648508;111,792172121767;111,103990234226;120,050354772259;119,781795986877;150,71641107805;140,141908903639;141,266498817426;140,779736018921;142,558937972076;138,782330052644;140,259403372244;135,626764324407;
9:1:9;299;0;14,5067521171893;68,1681544213016;117,264057373922;122,467383840696;114,377050431067;115,182726787213;111,506828412299;110,885786221103;119,798580910964;119,513237201495;150,884260318914;140,225833524071;141,400778210117;140,863660639353;142,676432440681;138,883039597162;140,393682764935;135,761043717098;
9:1:10;302;0;14,5067521171893;68,2185091935607;116,978713664454;122,198825055314;114,108491645686;114,914168001831;111,204699778744;110,617227435721;119,563591973754;119,2614633402;151,035324635691;140,326543068589;141,501487754635;140,947585259785;142,793926909285;139,000534065766;140,477607385367;135,912108033875;
9:1:11;301;0;14,5067521171893;68,184939345388;116,659800106813;121,896696421759;113,839932860304;114,561684596017;110,885786221103;110,315098802167;119,244678416114;118,925764858473;151,152819104295;140,343327992676;141,535057602808;140,964370183871;142,877851529717;139,034103913939;140,561532005798;135,97924773022;
9:1:12;301;0;14,5235370412757;68,2352941176471;116,374456397345;121,611352712291;113,537804226749;114,259555962463;110,617227435721;110,012970168612;118,992904554818;118,673990997177;151,287098496986;140,444037537194;141,652552071412;141,065079728389;142,978561074235;139,16838330663;140,679026474403;136,130312046998;
9:1:13;301;0;14,5571068894484;68,2352941176471;116,089112687877;121,359578850996;113,269245441367;113,990997177081;110,365453574426;109,710841535058;118,757915617609;118,405432211795;151,421377889677;140,561532005798;141,736476691844;141,165789272908;143,129625391012;139,285877775235;140,83009079118;136,231021591516;
